الكتب,الكاتب,سنة النشر,دار النشر,قسم الكتاب,تلخيص الكتاب,عدد الصفحات
غرائب الغرب 1/2,محمد كرد علي,2021,الرافدين للنشر والتوزيع,تاريخ,"""إننا إذا رحلنا اليوم إلى الغرب نجدد حياتنا بعد ذبولها ونقوي حواسنا بعد انثلام حدها وندخل في طور نتعلم فيه ونعتبر ونتعود عادات حسن اكثرها وجدير بنا أن نقتبسها عمن سبقونا مراحل وأشواطاً لأنها نتيجة علم متوارث ونظر بعيد متسلسل. فكل ما نراه في ديار الغرب هو عمل قرون خلت وأجيال علمت فعملت…مدنية الغرب غر",301
ديفيد شتراوس المعترف و..,فريدريش نيتشه,2021,الرافدين للنشر والتوزيع,فلسفة,"كتاب ""ديفيد شتراوس –المعترف والكاتب"" هو أحد النصوص الأربعة التي صدرت للفيلسوف الألماني فردريك نيتشه بين الأعوام (1873-1876). وكان نيتشه قد خطط في الأصل، كما ورد في أوراقه، لإصدار ثلاثة عشر نصًّا تتناول موضوعات مختلفة، إلّا أنه لم يتمكن من إنجاز سوى أربعة منها. وكما تناولت النصوص الأخرى شخصياتٍ كالفي",296
حول مزايا ومساوئ التار..,فريدريش نيتشه,2021,الرافدين للنشر والتوزيع,فلسفة,"ميزّ نيتشه بين ثلاثة أشكال لدراسة التاريخ وهي: الأثري والقديم والنقدي. لكن السمة الأهم في كتابه هذا هي ""الطريقة التي يسعى فيها مؤلفه إلى الاعتراف بالتاريخية التي لا مفر منها للوجود البشري، وتأكيد القدرة الإبداعية للبشر للتغلب على أنفسهم وماضيهم، والبدء في بناء علاقة جديدة بالزمن بشكل عام والماضي بشك",354
حول الشعر والفلسفة,جون ستيوارت مل,2021,الرافدين للنشر والتوزيع,فلسفة,"يكشف هذا الكتاب وجهاً آخر لاهتمامات مل الفكرية. فمن المعروف أن جون ستيورات ميل كان مشغولاً بشكل عام بقضية العقل، الحرية والاقتصاد وقضية الدين والفلسفة. وقد كتب عن بعضها بصورة تفصيلية، بل إنّ له الريادة في بعض منها كموضوع تحرير المرأة، وقضية الحرية، وقضايا الأقليات في الدولة الديمقراطية والدور الذي ي",197
جان دارك,جورج برنارد شو,2021,الرافدين للنشر والتوزيع,أدب,"ليس من الغرابة أن توضع جان دارك على منصة الخلود والتأمل، أن تكون متون كتب وترجمات، مسرحيات وأفلام، تقارير تُفزع السياسيين ورجال الدين، درساً حياً لتنوير مجتمع وثقافة، نداء مبكراً للنسوية، أن يكتب عنها شكسبير ومارك توين وبريخت وديورانت وفولتير، بل الغرابة أن ينشغل لعشر سنوات ساخر استثنائي مثل برناردش",301
الرهبة تخرس الأحلام,والتر لينغان,2021,الرافدين للنشر والتوزيع,روايات,سيرةُ أحلامٍ محطّمة ووعيٍ جمْعيٍ لبلادٍ بأسرها مُرِّغَ أمام شهوةٍ عارمةٍ للتسـلّط وإذلالِ شـعبٍ بأكمله هي أداة بناء المِعمار الروائي التوثيقي الذي أنجزه الكاتب البيرواني والتر لينغان بملَكَتِه الحكائيّة المتأثّرة بطفولةٍ مُشبعة بقصص الجدّات والغابات الاستوائيّة التي نشأ فيها.تتوالى أحداث العمل الروا,475
وباء ذاكرة,احمد الدوسري,2021,الرافدين للنشر والتوزيع,روايات,"هل يمكن للإنسان أن يعيش بلا ذاكرة؟ تحت سلطة وباء جماعي يذكّر بأجواء البرتغالي ساراماغو في رائعته ""العمى""، تتعطل ذاكرة الناس ومنهم أبطال هذه الرواية التي يدشنها أحمد الدوسري بعبارة مفتاحية: ""تحذير... الوياء بُركة... جميعنا الآن لا منتمون"". يتقاطع فقدان الذاكرة مع محاولة الايديولوجيا في البلدان العرب",103
متون سومر,خزعل الماجدي,2021,الرافدين للنشر والتوزيع,تاريخ,"هذا الكتـاب يجعلنـا أمـام مشــهد فريد لســـومر وحضارتهـا،حيـث الأصـــول الروحيـــة والمـاديـة الأولـى للإنــســـان.يقدم عرضاً وتحليلاً موسعاً لأربعة أركان أساسية من الحضارة السومرية، التي هي أول حضارة بشرية، في العصور التاريخية وهذه الأركان هي:1. التأريخ: حيث يتابع المؤلف الأصول الأولى للسومريين",231
رسائل السجن إخوة سوليد..,جورج جاكسون,2021,الرافدين للنشر والتوزيع,أدب,"أثناء وجوده في السجن، بسبب سرقته ما قيمته 70 دولارا وقضاءه 10 سنوات سجينا، أصبح جورج جاكسون مثقفًا ذاتيًا وواعيًا اجتماعيًا. ولإدراكه حقيقة الرأسمالية والهيمنة الأميركية الخانقة التي يفرضها الرجل الأبيض ويقينه أن الثورة على هذا الوضع ضرورة حتمية تبررها كل القوانين والشرائع ولإيمانه بأن التسامح والل",82
دروس سيكولوجية من الحر..,غوستاف لوبون,2021,الرافدين للنشر والتوزيع,علم نفس,"ميزة هذا الكتاب أنّه يتجاوز الأسلوب التّأريخيّ للحرب العالميّة الأولى، إلى استخراج مجموعة من الدّروس التي لم يسبق لأي باحث أن تطرّق إليها من قبل. الحقّ أنّ غوستاف لو بون حفر في أحداث الحرب، ووقائعها بحثًا عن الأسباب النّفسيّة التي رسمت ملامحها، وحدّدت مساراتها، لا سيّما من خلال تسليط الضّوء على العن",368
دراما في الصيد,أنطون تشيخوف,2021,الرافدين للنشر والتوزيع,روايات,"في روايته البوليسيَّة ""دراما في الصّيْد"" لا يكتفي تشيخوف بتصوير الجريمة، بل يُحاوِلُ القبضَ على الجذور الفلسفية والاجتماعية للجريمة، مؤكِّداً أنَّ المجرمَ لا ينفكُّ عن المجتمع الذي خلَقَهُ.تحتفي الرواية بسِمات تشيخوف الحقيقي: نظرته الرصينة للإنسان، وسيكولوجيّته القاسية، وتقديس العقل الذي يرفض الابتذ",22
 حفريات الخطاب مقالات ف..,مجموعة مؤلفين,2021,الرافدين للنشر والتوزيع,علوم اللغة,يكتسي هذا الكتاب طابعا جادّا وحيويا ومتكاملا في حركة تحليلية وحفرية تجمع أكثر من ميدان للنفاذ داخل مقاربة تأويلية وتفكيكية صوب المعنى الخفيّ داخل العلاقات الداخلية والخارجية للخطاب. كما تسير أبحاث هذا الكتاب مع سياق التّحولات التي شهدها مجال تحليل الخطاب من فترة الانفتاح اللساني والسيميائي المعدّل و,178
تاريخ القدس القديم,خزعل الماجدي,2021,الرافدين للنشر والتوزيع,تاريخ,يأتي هذا الكتاب ضمن محاولة لكتابة تاريخ حقيقي لسيرة مدينة أورشليم - القدس منذ ظهورها وحتى الاحتلال الروماني لها . ونعني بوصف تاريخ حقيقي استبعاد كل المؤثرات الدينية التوراتية التي تحكمت بمسرى الاحداث ووجهتها . وخصوصا تلك التي لها علاقة بنشوء المدينة ونموها في العصور البرونزية والحديدية والكلاسيكية أ,16
اوديب او السر الهائل,فولتير,2021,الرافدين للنشر والتوزيع,أدب,"واحدة من أشهر الروائع الأدبيّة على الإطلاق، وتتجلّى أهميتها في إعادة تناولها وكتابتها مرات ومرات وفي أزمنة مختلفة، بدءاً بسوفوكليس وسينيكا وبيير كورني وصولاً إلى كشوفات فرويد في التحليل النفسي.في كتابته لأوديب جديد، لم يحاول فولتير الشاب وقتها (19 عاماً) تطوير النماذج السابقة فحسب، بل وجد أيضاً الفر",16
الديني والتحليل النفسي,فيليب جوليان,2021,الرافدين للنشر والتوزيع,علم نفس,"لقد أضحى الإنسان المعاصر في ظلّ جنوح العولمة وتجاوزاتها، وتحت وطأة اقتصاد السوق والتكنوقراطية، وفي أجواء الغفلية والسرية المدينية، واللاتجذر المعمّم، وكذا انحسار السلطات الأسرية والعمومية، مسحوقاً بين شِقّي الفوضى والارتباك. وغدا في عالم بهذه المعالم من المستحيل على إنساننا المعاصر أن يجبه بمفرده أع",16
محادثة مع بورمان,رينه ديكارت,2021,الرافدين للنشر والتوزيع,فلسفة,"صحيح أنّ بورمان ( 1628 – 1679)كان ابن كاهن هولنديّ تربطه علاقة وثيقة بديكارت، إلّا أنّ علاقة الصداقة هذه لم تكن هي السبب الوحيد وراء موافقة ديكارت على إجراء هذه المحادثة. فمن المعروف عن فيلسوفنا تواضعه الكبير، وسعيه الدائم إلى مساعدة الطلاب الشباب، وتلقينهم علومه الرياضيّة، والوقوف على أسئلتهم، والا",16
